Format: <instr address>,<tsc>,<val>
0xffffb7f14018,1272365895720712,100000009068
0xffffb7f11230,1272365895915243,100000009140
0xffffb7f11230,1272365896956222,100000009280
0xffffb7f11230,1272365896963868,1000000093c0
0xffffb7f11230,1272365896969416,100000009500
0xffffb7f11230,1272365896974706,100000009640
0xffffb7f11230,1272365896981149,100000009780
0xffffb7f11230,1272365897003806,1000000098c0
0xffffb7f11230,1272365897032671,100000009a00
0xffffb7f11230,1272365897039330,100000009b40
0xffffb7f11230,1272365897044780,100000009c80
0xffffb7f11230,1272365897049971,100000009dc0
0xffffb7f11230,1272365897055101,10000000a000
0xffffb7f11230,1272365897060235,10000000a140
0xffffb7f11230,1272365897065350,10000000a280
0xffffb7f11230,1272365897076773,10000000a3c0
0xffffb7f11230,1272365897083856,10000000a500
0xffffb7f2404c,1272365897153965,100000009568
0xffffb7f2404c,1272365897168607,1000000096a8
0xffffb7f2404c,1272365897177268,1000000097e8
0xffffb7f2404c,1272365897181065,100000009928
0xffffb7f2404c,1272365897181554,100000009a68
0xffffb7f2404c,1272365897189316,100000009ba8
0xffffb7f2404c,1272365897189793,100000009ce8
0xffffb7f2404c,1272365897190208,100000009e28
0xffffb7f2404c,1272365897190604,10000000a068
0xffffb7f2404c,1272365897190991,10000000a1a8
0xffffb7f2404c,1272365897191379,10000000a2e8
0xffffb7f2404c,1272365897191774,10000000a428
0xffffb7f2404c,1272365897192169,10000000a568
0xffffb7f2404c,1272365897315985,100000009568
0xffffb7f2404c,1272365897319462,1000000096a8
0xffffb7f2404c,1272365898425530,1000000097e8
0xffffb7efe1a8,1272365898426674,1000000097e8
0xffffb7efe218,1272365898427116,1000000097e8
0xffffb7efe1a8,1272365898428655,1000000097e8
0xffffb7efe218,1272365898429036,1000000097e8
0xffffb7efe1a8,1272365898430127,1000000097e8
0xffffb7efe218,1272365898430519,1000000097e8
0xffffb7efe1a8,1272365898431587,1000000097e8
0xffffb7efe218,1272365898431960,1000000097e8
0xffffb7efe1a8,1272365898433015,1000000097e8
0xffffb7efe218,1272365898433400,1000000097e8
0xffffb7efe1a8,1272365898434454,1000000097e8
0xffffb7efe218,1272365898434823,1000000097e8
0xffffb7efe1a8,1272365898435874,1000000097e8
0xffffb7efe218,1272365898436242,1000000097e8
0xffffb7efe1a8,1272365898437296,1000000097e8
0xffffb7efe218,1272365898437698,1000000097e8
0xffffb7efe1a8,1272365898438754,1000000097e8
0xffffb7efe218,1272365898439143,1000000097e8
0xffffb7efe1a8,1272365898440193,1000000097e8
0xffffb7efe218,1272365898440558,1000000097e8
0xffffb7efe1a8,1272365898441611,1000000097e8
0xffffb7efe218,1272365898441981,1000000097e8
0xffffb7efe1a8,1272365898443030,1000000097e8
0xffffb7efe218,1272365898443415,1000000097e8
0xffffb7efe1a8,1272365898444472,1000000097e8
0xffffb7efe218,1272365898444905,1000000097e8
0xffffb7efe1a8,1272365898445957,1000000097e8
0xffffb7efe218,1272365898446326,1000000097e8
0xffffb7efe1a8,1272365898447379,1000000097e8
0xffffb7efe218,1272365898447744,1000000097e8
0xffffb7efe1a8,1272365898448797,1000000097e8
0xffffb7efe218,1272365898449204,1000000097e8
0xffffb7efe1a8,1272365898450255,1000000097e8
0xffffb7efe218,1272365898450623,1000000097e8
0xffffb7efe1a8,1272365898451674,1000000097e8
0xffffb7efe218,1272365898452057,1000000097e8
0xffffb7efe1a8,1272365898453106,1000000097e8
0xffffb7efe218,1272365898453474,1000000097e8
0xffffb7efe1a8,1272365898454525,1000000097e8
0xffffb7efe218,1272365898454909,1000000097e8
0xffffb7efe1a8,1272365898455964,1000000097e8
0xffffb7efe218,1272365898456382,1000000097e8
0xffffb7f2404c,1272365898457228,100000009928
0xffffb7efe1a8,1272365898457704,100000009928
0xffffb7efe218,1272365898458075,100000009928
0xffffb7efe1a8,1272365898459127,100000009928
0xffffb7efe218,1272365898459495,100000009928
0xffffb7efe1a8,1272365898460542,100000009928
0xffffb7efe218,1272365898460931,100000009928
0xffffb7efe1a8,1272365898461977,100000009928
0xffffb7efe218,1272365898462344,100000009928
0xffffb7efe1a8,1272365898463393,100000009928
0xffffb7efe218,1272365898463776,100000009928
0xffffb7efe1a8,1272365898464823,100000009928
0xffffb7efe218,1272365898465193,100000009928
0xffffb7efe1a8,1272365898466238,100000009928
0xffffb7efe218,1272365898466605,100000009928
0xffffb7efe1a8,1272365898467652,100000009928
0xffffb7efe218,1272365898470123,100000009928
0xffffb7efe1a8,1272365898471357,100000009928
0xffffb7efe218,1272365898471745,100000009928
0xffffb7efe1a8,1272365898472797,100000009928
0xffffb7efe218,1272365898473168,100000009928
0xffffb7efe1a8,1272365898474214,100000009928
0xffffb7efe218,1272365898474582,100000009928
0xffffb7efe1a8,1272365898475627,100000009928
